symptom,condition,advice
"fever, headache, body aches","common cold or flu","Rest, stay hydrated, consider over-the-counter fever reducers. Consult a doctor if symptoms persist beyond 7 days or worsen."
"runny nose, sneezing, cough","common cold","Rest, drink plenty of fluids, use saline nasal spray. See a doctor if symptoms last more than 10 days."
"sore throat, difficulty swallowing","pharyngitis or tonsillitis","Gargle with warm salt water, stay hydrated, consider throat lozenges. See a doctor if severe or persists."
"stomach pain, nausea, vomiting","gastroenteritis","Stay hydrated with clear fluids, avoid solid foods initially, rest. Seek medical attention if dehydration occurs."
"diarrhea, abdominal cramps","digestive upset","Stay hydrated, eat bland foods like BRAT diet, rest. Consult doctor if blood in stool or severe dehydration."
"headache, fatigue, muscle pain","viral infection","Rest, stay hydrated, over-the-counter pain relievers. Monitor symptoms and see doctor if worsening."
"skin rash, itching","allergic reaction or dermatitis","Identify and avoid triggers, use cool compresses, antihistamines may help. See doctor if severe or spreading."
"cough, shortness of breath","respiratory infection","Rest, stay hydrated, humidifier may help. Seek immediate care if severe breathing difficulty."
"joint pain, stiffness","arthritis or inflammation","Apply heat/cold, gentle exercise, anti-inflammatory medications. Consult doctor for persistent symptoms."
"back pain, muscle tension","muscle strain","Rest, ice/heat therapy, gentle stretching, pain relievers. See doctor if severe or persistent."
